ZipCode,City,State,% age 25-34,% age 35-44,% age 45-54,% age 55-64,% age 65 or older,Median age ,% Bachelor's,% HS diploma,% less than HS diploma,% post grad,% college,Average HH size,Median gross rent,Median value of an owner-occupied home,Median HH income,Median owner cost burden,Median renter cost burden,% Asian,% Black,% Hispanic,% White,Predominant race,Population,Unemployment Rate,Total population of state
49640,HONOR,MI,7.37,7.306666667000001,10.38,21.89,37.19,58.0,24.23666667,23.88,4.666666667,19.31333333,26.86666667,2.283333333,636.6666667000001,282300.0,63317.0,18.03333333,35.36666667,0.388,0.36,1.436,96.492,White,1618,3.9,9861637
49642,IDLEWILD,MI,8.795,9.245,12.78,18.42,24.435,49.5,6.85,42.23,19.78,3.565,28.215,2.54,673.5,80900.0,35267.5,17.5,43.75,0.985,0.13,1.2,97.1225,White,842,25.5,9861637
49643,INTERLOCHEN,MI,11.32666667,11.76,14.96166667,16.34166667,16.64333333,44.0,15.56833333,31.34833333,6.82,9.271666667,37.73333333,2.45,924.3333332999998,167600.0,61830.66667000001,18.4,31.5,0.28,0.8,0.98,94.16,White,6253,3.1,9861637
49644,IRONS,MI,8.4125,8.665,13.9,19.4075,27.4625,52.5,7.5625,39.9125,15.1375,3.95,33.4475,2.53,663.75,96425.0,41858.75,18.8,28.875,0.665,0.353333333,1.751666667,96.0,White,2033,10.2,9861637
49645,KALEVA,MI,8.9,10.13,13.1975,18.395,24.815,49.5,12.3975,36.73,10.1825,7.2825,32.9125,2.3475,731.75,134325.0,51458.25,17.15,30.05,0.24,0.65,0.34,86.72,White,1632,13.5,9861637
49646,KALKASKA,MI,10.84,10.832,13.868,16.7,21.01,46.4,7.82,41.192,13.702,5.167999999999999,32.192,2.446,743.6,109980.0,46094.6,17.06,29.18,0.8775,0.4625,1.3475,96.465,White,8229,8.7,9861637
49648,KEWADIN,MI,6.936666667000001,8.393333333,13.19333333,18.01,30.87666667,55.0,21.81333333,25.49333333,7.456666667,15.46,30.57,2.416666667,767.0,218966.6667,62871.33332999999,18.63333333,24.43333333,0.402,0.662,1.446,92.494,White,2098,9.6,9861637
49649,KINGSLEY,MI,11.72833333,12.21166667,13.89333333,15.815,14.77,40.16666667,13.32666667,35.07333333,8.913333332999999,5.975,37.055,2.6,863.0,145383.3333,55103.0,18.83333333,28.06666667,1.01,0.55,1.525,95.185,White,7789,5.7,9861637
49650,LAKE ANN,MI,8.466666667,10.60666667,14.34,18.44333333,21.68666667,47.66666667,18.57,33.31333333,6.843333332999999,10.04666667,32.42333333,2.353333333,813.0,188366.6667,60543.0,18.63333333,33.86666667,0.405,0.205,0.815,97.33,White,3144,4.4,9861637
49651,LAKE CITY,MI,10.7175,10.26,13.1825,15.0675,20.115,43.5,9.09,41.2375,12.0075,4.375,33.5175,2.52,763.0,108750.0,45120.5,17.3,29.45,0.68,0.79,0.605,84.05,White,7665,7.6,9861637
49653,LAKE LEELANAU,MI,8.71,9.14,11.375,18.54,29.175,52.5,23.675,22.685,5.005,17.8,32.79,2.02,773.5,276500.0,63477.0,16.4,22.7,0.6225,0.4,1.125,96.6675,White,1922,5,9861637
49654,LELAND,MI,7.12,6.975,10.74,18.225,35.03,57.0,27.01,19.405,3.94,22.41,28.055,2.155,792.0,286550.0,56842.5,19.1,24.85,0.51,0.1025,1.29,97.315,White,690,6.9,9861637
49655,LEROY,MI,10.475,10.4975,13.4075,15.4975,20.16,43.25,7.9,45.1025,15.2875,4.4375,28.245,2.575,644.25,96425.0,41744.25,17.55,32.575,0.66,1.86,0.33,89.27,White,3173,6.8,9861637
49656,LUTHER,MI,9.61,10.51,14.27,16.74,22.98,48.0,4.86,43.32,21.84,3.08,27.29,2.76,722.0,82200.0,38576.0,17.6,38.3,0.16,0.328,0.7759999999999999,94.344,White,1534,10.7,9861637
49657,MC BAIN,MI,9.8725,10.425,14.345,15.15,18.5125,42.75,11.2775,41.9,12.025,4.3625,31.715,2.6475,666.75,105325.0,46717.75,16.6,27.075,0.5760000000000001,0.208,2.02,96.36200000000001,White,3683,4.3,9861637
49659,MANCELONA,MI,8.851666667,10.51666667,14.21333333,16.865,23.39333333,48.16666667,13.52333333,37.875,11.61166667,7.485,30.44,2.312,714.6,152740.0,51462.0,18.0,26.84,0.31,9.88,2.25,69.23,White,6801,6.9,9861637
